Source,Target,Type,Id,Label,timeset,Weight
2,1,Directed,78,,,1
3,1,Directed,79,,,1
3,2,Directed,80,,,1
4,1,Directed,81,,,1
4,2,Directed,82,,,1
4,3,Directed,83,,,1
5,1,Directed,84,,,1
6,1,Directed,85,,,1
7,1,Directed,86,,,1
7,5,Directed,87,,,1
7,6,Directed,88,,,1
8,1,Directed,89,,,1
8,2,Directed,90,,,1
8,3,Directed,91,,,1
8,4,Directed,92,,,1
9,1,Directed,93,,,1
9,3,Directed,94,,,1
10,3,Directed,95,,,1
11,1,Directed,96,,,1
11,5,Directed,97,,,1
11,6,Directed,98,,,1
12,1,Directed,99,,,1
13,1,Directed,100,,,1
13,4,Directed,101,,,1
14,1,Directed,102,,,1
14,2,Directed,103,,,1
14,3,Directed,104,,,1
14,4,Directed,105,,,1
17,6,Directed,106,,,1
17,7,Directed,107,,,1
18,1,Directed,108,,,1
18,2,Directed,109,,,1
20,1,Directed,110,,,1
20,2,Directed,111,,,1
22,1,Directed,112,,,1
22,2,Directed,113,,,1
26,24,Directed,114,,,1
26,25,Directed,115,,,1
28,3,Directed,116,,,1
28,24,Directed,117,,,1
28,25,Directed,118,,,1
29,3,Directed,119,,,1
30,24,Directed,120,,,1
30,27,Directed,121,,,1
31,2,Directed,122,,,1
31,9,Directed,123,,,1
32,1,Directed,124,,,1
32,25,Directed,125,,,1
32,26,Directed,126,,,1
32,29,Directed,127,,,1
33,3,Directed,128,,,1
33,9,Directed,129,,,1
33,15,Directed,130,,,1
33,16,Directed,131,,,1
33,19,Directed,132,,,1
33,21,Directed,133,,,1
33,23,Directed,134,,,1
33,24,Directed,135,,,1
33,30,Directed,136,,,1
33,31,Directed,137,,,1
33,32,Directed,138,,,1
34,9,Directed,139,,,1
34,10,Directed,140,,,1
34,14,Directed,141,,,1
34,15,Directed,142,,,1
34,16,Directed,143,,,1
34,19,Directed,144,,,1
34,20,Directed,145,,,1
34,21,Directed,146,,,1
34,23,Directed,147,,,1
34,24,Directed,148,,,1
34,27,Directed,149,,,1
34,28,Directed,150,,,1
34,29,Directed,151,,,1
34,30,Directed,152,,,1
34,31,Directed,153,,,1
34,32,Directed,154,,,1
34,33,Directed,155,,,1
